ticket_id,account_id,user_id,created_at,channel,issue_category,severity,priority,resolution_time_hours,escalated_flag,csat_score,refund_flag,churn_risk_flag,experiment_variant,ai_predicted_category,ai_detected_theme,ai_priority_score,ai_category_confidence
TKT-000027,ACC-0002,USR-00006,2025-07-23T15:00:00,email,onboarding,low,low,7.66,0,3.9,0,0,control,onboarding,training_gap,21.1,0.981
TKT-000028,ACC-0002,USR-00006,2025-07-18T10:00:00,web_form,access,medium,medium,8.43,0,3.18,0,0,control,access,password_reset,32.36,0.992
TKT-000029,ACC-0002,USR-00006,2025-07-11T13:00:00,web_form,billing,high,high,13.98,0,2.93,0,1,control,billing,tax_setup,47.96,0.967
TKT-000030,ACC-0002,USR-00005,2025-08-17T17:00:00,email,access,medium,medium,7.74,0,2.46,0,0,control,access,permission_setup,35.81,0.985
TKT-000031,ACC-0002,USR-00006,2025-08-02T18:00:00,email,billing,low,low,8.5,0,3.56,0,0,control,billing,invoice_confusion,22.97,0.932
TKT-000032,ACC-0002,USR-00005,2025-08-03T14:00:00,chat,account_management,medium,medium,8.26,0,3.34,0,0,control,account_management,contract_update,31.52,0.877
TKT-000033,ACC-0002,USR-00006,2025-09-26T10:00:00,email,billing,medium,medium,8.52,0,2.83,0,1,control,billing,invoice_confusion,38.62,0.932
TKT-000034,ACC-0002,USR-00006,2025-09-01T10:00:00,email,onboarding,medium,medium,14.41,0,3.32,0,0,control,onboarding,workspace_configuration,32.9,0.979
TKT-000035,ACC-0002,USR-00005,2025-10-04T16:00:00,phone,access,low,low,5.99,0,3.52,0,0,control,access,mfa_lockout,22.65,0.981
TKT-000036,ACC-0002,USR-00005,2025-11-10T10:00:00,email,feature_request,low,low,17.81,0,3.22,1,1,control,feature_request,advanced_permissions,33.81,0.78
TKT-000037,ACC-0002,USR-00006,2025-12-18T13:00:00,web_form,onboarding,high,high,20.53,1,3.2,0,0,control,onboarding,setup_guidance,45.58,0.943
TKT-000038,ACC-0002,USR-00006,2025-12-09T14:00:00,email,onboarding,low,low,8.35,0,4.37,0,0,control,onboarding,setup_guidance,18.89,0.983
TKT-000039,ACC-0002,USR-00006,2026-01-06T17:00:00,email,billing,high,high,11.65,0,3.71,1,0,control,billing,tax_setup,41.78,0.949
TKT-000040,ACC-0002,USR-00005,2026-02-12T12:00:00,email,billing,low,low,5.7,0,2.92,1,0,control,billing,invoice_confusion,28.29,0.888
TKT-000041,ACC-0002,USR-00005,2026-02-23T17:00:00,web_form,billing,medium,medium,8.2,0,4.07,0,0,control,billing,invoice_confusion,27.86,0.976
TKT-000042,ACC-0002,USR-00006,2026-03-17T11:00:00,web_form,account_management,high,high,15.03,0,3.54,0,0,control,account_management,contract_update,40.63,0.963
TKT-000043,ACC-0002,USR-00006,2026-03-18T17:00:00,phone,billing,low,low,7.16,0,3.78,0,0,control,billing,seat_true_up,21.59,0.955
TKT-000044,ACC-0003,USR-00012,2025-01-17T12:00:00,email,account_management,high,high,15.79,1,3.78,0,0,guided_onboarding,account_management,contract_update,47.29,0.986
TKT-000045,ACC-0003,USR-00010,2025-02-16T08:00:00,web_form,account_management,high,high,16.08,1,3.06,0,0,guided_onboarding,account_management,user_deactivation,50.95,0.908
TKT-000046,ACC-0003,USR-00009,2025-02-15T08:00:00,email,access,medium,medium,9.74,0,3.97,0,0,guided_onboarding,access,mfa_lockout,34.28,0.864
TKT-000047,ACC-0003,USR-00011,2025-03-02T08:00:00,email,performance,low,low,24.53,1,1.97,1,0,guided_onboarding,integration,integration_other,44.66,0.561
TKT-000048,ACC-0003,USR-00008,2025-04-20T09:00:00,email,bug,low,low,12.81,1,1.87,1,0,guided_onboarding,bug,filter_logic,42.72,0.926
TKT-000049,ACC-0003,USR-00010,2025-04-21T08:00:00,chat,access,low,low,6.86,0,3.39,1,0,guided_onboarding,access,permission_setup,31.78,0.671
TKT-000050,ACC-0003,USR-00012,2025-04-22T08:00:00,web_form,account_management,low,low,6.91,0,3.76,0,0,guided_onboarding,account_management,user_deactivation,27.24,0.876
TKT-000051,ACC-0003,USR-00009,2025-05-17T16:00:00,phone,feature_request,critical,urgent,52.77,0,3.1,0,1,guided_onboarding,feature_request,bulk_actions,67.09,0.966
TKT-000052,ACC-0003,USR-00009,2025-05-19T09:00:00,chat,billing,medium,medium,8.16,0,3.23,0,0,guided_onboarding,billing,tax_setup,37.65,0.98
TKT-000053,ACC-0003,USR-00011,2025-06-05T11:00:00,web_form,integration,medium,medium,22.45,0,2.1,0,1,guided_onboarding,integration,crm_sync,50.78,0.484
TKT-000054,ACC-0003,USR-00010,2025-06-17T11:00:00,chat,performance,critical,urgent,47.52,1,2.39,0,0,guided_onboarding,integration,integration_other,67.15,0.559
TKT-000055,ACC-0003,USR-00008,2025-06-24T13:00:00,phone,integration,low,low,21.01,1,3.07,0,0,guided_onboarding,integration,webhook_failure,35.73,0.902
TKT-000056,ACC-0003,USR-00007,2025-07-10T18:00:00,web_form,feature_request,low,low,18.09,0,3.16,0,1,guided_onboarding,feature_request,bulk_actions,37.07,0.939
TKT-000057,ACC-0003,USR-00008,2025-08-05T15:00:00,chat,account_management,low,low,9.12,0,4.09,0,0,guided_onboarding,account_management,renewal_changes,26.05,0.953
TKT-000058,ACC-0003,USR-00007,2025-08-12T13:00:00,email,bug,high,high,25.41,0,3.45,0,0,guided_onboarding,bug,data_sync_bug,48.84,0.893
TKT-000059,ACC-0003,USR-00010,2025-09-01T15:00:00,email,performance,high,high,34.17,1,2.78,0,0,guided_onboarding,performance,report_refresh,56.12,0.965
TKT-000060,ACC-0003,USR-00013,2025-10-23T17:00:00,email,bug,high,high,19.87,1,1.91,0,0,guided_onboarding,bug,data_sync_bug,57.49,0.907
TKT-000061,ACC-0003,USR-00013,2025-10-24T17:00:00,phone,integration,medium,medium,19.74,0,3.15,0,0,guided_onboarding,integration,identity_provisioning,40.46,0.801
TKT-000062,ACC-0003,USR-00009,2025-11-24T16:00:00,phone,bug,high,high,27.74,0,2.91,0,0,guided_onboarding,bug,notification_bug,52.03,0.885
TKT-000063,ACC-0003,USR-00011,2025-11-04T14:00:00,web_form,bug,high,high,27.02,1,2.39,1,1,guided_onboarding,bug,notification_bug,63.78,0.954
TKT-000064,ACC-0003,USR-00008,2025-11-25T11:00:00,phone,performance,high,high,27.37,1,2.89,0,0,guided_onboarding,performance,api_timeout,54.15,0.598
TKT-000065,ACC-0003,USR-00007,2025-12-01T08:00:00,web_form,bug,low,low,17.49,0,2.83,0,0,guided_onboarding,bug,notification_bug,34.09,0.953
TKT-000066,ACC-0003,USR-00007,2026-02-19T16:00:00,email,onboarding,low,low,6.29,0,3.91,0,0,guided_onboarding,onboarding,workspace_configuration,26.36,0.954
TKT-000067,ACC-0003,USR-00007,2026-02-14T08:00:00,email,account_management,medium,medium,10.7,0,2.59,1,0,guided_onboarding,account_management,renewal_changes,44.08,0.964
TKT-000068,ACC-0003,USR-00013,2026-02-18T11:00:00,chat,onboarding,critical,urgent,25.17,0,3.01,0,1,guided_onboarding,onboarding,setup_guidance,61.79,0.984
TKT-000069,ACC-0003,USR-00011,2026-03-07T18:00:00,web_form,account_management,high,high,15.62,1,3.58,0,0,guided_onboarding,account_management,billing_contact,48.25,0.951
TKT-000070,ACC-0003,USR-00008,2026-03-27T12:00:00,email,integration,high,high,35.37,1,1.83,0,1,guided_onboarding,integration,slack_alerts,65.62,0.85
TKT-000071,ACC-0004,USR-00014,2025-07-26T08:00:00,chat,onboarding,low,low,15.14,0,4.12,0,0,control,onboarding,training_gap,21.55,0.984
TKT-000072,ACC-0004,USR-00015,2025-07-04T12:00:00,chat,feature_request,medium,medium,29.26,0,3.64,0,0,control,feature_request,custom_dashboard,34.4,0.953
TKT-000073,ACC-0004,USR-00015,2025-07-05T09:00:00,web_form,billing,medium,medium,8.45,0,3.19,0,1,control,billing,invoice_confusion,36.81,0.954
TKT-000074,ACC-0004,USR-00015,2025-07-05T18:00:00,phone,account_management,medium,medium,10.81,0,3.73,0,0,control,account_management,user_deactivation,30.1,0.888
TKT-000075,ACC-0004,USR-00014,2025-07-25T16:00:00,web_form,billing,high,high,12.09,0,2.95,0,1,control,billing,invoice_confusion,47.47,0.958
TKT-000076,ACC-0004,USR-00014,2025-07-17T17:00:00,email,access,high,high,9.25,0,3.52,0,0,control,access,sso_role_mapping,39.53,0.98
TKT-000077,ACC-0004,USR-00015,2025-07-05T12:00:00,phone,bug,high,high,17.78,1,2.32,0,0,control,bug,data_sync_bug,49.4,0.907
TKT-000078,ACC-0004,USR-00015,2025-08-03T18:00:00,email,bug,high,high,21.54,0,2.72,0,0,control,bug,notification_bug,46.09,0.969
TKT-000079,ACC-0004,USR-00015,2025-08-04T13:00:00,chat,onboarding,medium,medium,16.25,0,4.07,0,0,control,onboarding,import_mapping,29.54,0.974
TKT-000080,ACC-0004,USR-00014,2025-09-23T17:00:00,web_form,bug,high,high,23.59,0,2.91,0,0,control,bug,notification_bug,45.56,0.96
TKT-000081,ACC-0004,USR-00015,2025-09-10T12:00:00,web_form,performance,high,high,23.13,1,2.47,0,0,control,performance,api_timeout,49.77,0.756
TKT-000082,ACC-0004,USR-00014,2025-09-02T12:00:00,email,access,high,high,9.72,0,3.42,0,0,control,access,sso_role_mapping,40.12,0.983
TKT-000083,ACC-0004,USR-00015,2025-09-10T11:00:00,chat,onboarding,medium,medium,17.43,0,3.8,0,0,control,onboarding,import_mapping,31.13,0.985
TKT-000084,ACC-0004,USR-00014,2025-10-09T11:00:00,email,feature_request,low,low,26.68,0,3.52,1,0,control,feature_request,bulk_actions,29.66,0.531
TKT-000085,ACC-0004,USR-00014,2025-10-08T17:00:00,web_form,billing,high,high,11.1,0,3.74,0,0,control,billing,invoice_confusion,38.81,0.978
TKT-000086,ACC-0004,USR-00014,2025-10-13T10:00:00,email,account_management,medium,medium,10.6,1,3.33,0,0,control,account_management,billing_contact,34.16,0.903
TKT-000087,ACC-0004,USR-00014,2025-10-10T16:00:00,email,billing,medium,medium,6.16,0,3.49,0,0,control,billing,invoice_confusion,30.33,0.975
TKT-000088,ACC-0004,USR-00015,2025-11-16T11:00:00,email,account_management,high,high,14.42,0,3.76,0,0,control,account_management,billing_contact,39.4,0.829
TKT-000089,ACC-0004,USR-00014,2025-11-18T10:00:00,chat,billing,medium,medium,7.9,0,2.73,1,1,control,billing,seat_true_up,41.7,0.954
TKT-000090,ACC-0004,USR-00015,2025-11-07T13:00:00,web_form,billing,medium,medium,8.94,0,3.73,0,0,control,billing,invoice_confusion,29.71,0.979
TKT-000091,ACC-0004,USR-00015,2025-11-20T10:00:00,chat,billing,medium,medium,8.81,0,3.61,0,1,control,billing,invoice_confusion,34.79,0.96
TKT-000092,ACC-0004,USR-00014,2025-11-16T10:00:00,email,access,low,low,4.38,0,3.02,0,0,control,access,permission_setup,24.81,0.974
TKT-000093,ACC-0004,USR-00015,2025-11-24T10:00:00,chat,onboarding,low,low,9.57,0,3.56,0,0,control,onboarding,training_gap,23.19,0.987
TKT-000094,ACC-0004,USR-00015,2025-12-19T14:00:00,chat,feature_request,high,high,36.85,0,3.08,0,0,control,feature_request,custom_dashboard,47.48,0.95
TKT-000095,ACC-0004,USR-00015,2026-01-16T17:00:00,web_form,access,high,high,9.09,0,3.53,0,0,control,access,password_reset,39.44,0.987
TKT-000096,ACC-0004,USR-00014,2026-02-13T12:00:00,email,access,medium,medium,7.53,0,3.09,0,0,control,access,password_reset,32.62,0.966
TKT-000097,ACC-0004,USR-00015,2026-02-17T14:00:00,email,billing,medium,medium,7.32,0,4.1,0,0,control,billing,invoice_confusion,27.53,0.982
TKT-000098,ACC-0004,USR-00015,2026-02-17T12:00:00,web_form,bug,high,high,18.64,0,2.99,0,0,control,bug,report_export,44.13,0.772
TKT-000099,ACC-0004,USR-00014,2026-02-27T15:00:00,web_form,access,medium,medium,7.39,0,3.13,0,0,control,access,password_reset,32.39,0.983
TKT-000100,ACC-0004,USR-00014,2026-02-19T09:00:00,chat,performance,high,high,35.95,0,2.36,1,0,control,performance,report_refresh,53.59,0.945
TKT-000101,ACC-0004,USR-00014,2026-02-25T11:00:00,chat,onboarding,medium,medium,11.98,0,3.84,0,0,control,onboarding,setup_guidance,29.8,0.976
TKT-000102,ACC-0004,USR-00015,2026-03-10T10:00:00,email,account_management,high,high,15.04,0,3.23,0,1,control,account_management,renewal_changes,46.68,0.821
TKT-000103,ACC-0004,USR-00015,2026-03-08T08:00:00,email,onboarding,critical,urgent,17.24,0,3.06,0,0,control,onboarding,training_gap,49.79,0.988
TKT-000104,ACC-0005,USR-00016,2025-06-21T11:00:00,email,bug,high,high,32.84,0,3.26,0,0,guided_onboarding,bug,notification_bug,41.74,0.973
TKT-000105,ACC-0005,USR-00016,2025-06-08T16:00:00,chat,billing,low,low,6.42,0,3.67,0,0,guided_onboarding,billing,tax_setup,17.99,0.968
TKT-000106,ACC-0005,USR-00017,2025-06-17T12:00:00,email,access,high,high,7.94,0,3.4,1,0,guided_onboarding,access,mfa_lockout,38.55,0.977
TKT-000107,ACC-0005,USR-00016,2025-06-23T10:00:00,chat,performance,critical,urgent,38.67,0,1.73,0,1,guided_onboarding,performance,dashboard_latency,61.41,0.857
TKT-000108,ACC-0005,USR-00017,2025-06-08T12:00:00,web_form,account_management,high,high,14.46,1,3.25,0,0,guided_onboarding,account_management,contract_update,40.06,0.893
TKT-000109,ACC-0005,USR-00016,2025-07-23T10:00:00,chat,access,medium,medium,11.02,0,3.52,0,0,guided_onboarding,access,password_reset,27.2,0.984
TKT-000110,ACC-0005,USR-00016,2025-07-07T14:00:00,web_form,feature_request,low,low,33.06,0,3.51,0,0,guided_onboarding,feature_request,advanced_permissions,24.34,0.97
TKT-000111,ACC-0005,USR-00016,2025-08-19T15:00:00,email,billing,medium,medium,7.97,0,3.27,0,0,guided_onboarding,billing,invoice_confusion,27.81,0.601
TKT-000112,ACC-0005,USR-00016,2025-08-27T13:00:00,email,onboarding,medium,medium,15.85,0,4.04,0,0,guided_onboarding,onboarding,import_mapping,25.6,0.984
TKT-000113,ACC-0005,USR-00016,2025-08-26T08:00:00,email,onboarding,high,high,14.44,0,3.31,1,0,guided_onboarding,onboarding,import_mapping,40.36,0.944
TKT-000114,ACC-0005,USR-00016,2025-09-01T14:00:00,email,integration,high,high,24.82,1,2.7,0,0,guided_onboarding,integration,identity_provisioning,44.97,0.73
TKT-000115,ACC-0005,USR-00016,2025-09-10T16:00:00,email,performance,low,low,26.45,0,2.78,0,0,guided_onboarding,performance,report_refresh,26.61,0.765
TKT-000116,ACC-0005,USR-00017,2025-09-09T09:00:00,chat,performance,high,high,35.22,1,2.15,0,1,guided_onboarding,integration,integration_other,54.39,0.548
TKT-000117,ACC-0005,USR-00016,2025-10-13T17:00:00,email,billing,high,high,11.79,0,3.5,0,0,guided_onboarding,billing,invoice_confusion,36.16,0.96
TKT-000118,ACC-0005,USR-00016,2025-11-25T16:00:00,email,account_management,low,low,9.84,0,4.33,0,0,guided_onboarding,account_management,renewal_changes,15.4,0.948
TKT-000119,ACC-0005,USR-00016,2025-11-25T09:00:00,email,bug,high,high,29.63,1,2.81,0,0,guided_onboarding,bug,notification_bug,45.42,0.969
TKT-000120,ACC-0005,USR-00016,2025-12-16T10:00:00,email,integration,high,high,36.49,1,2.1,0,0,guided_onboarding,integration,webhook_failure,50.4,0.981
TKT-000121,ACC-0005,USR-00017,2026-01-25T08:00:00,phone,account_management,low,low,9.17,0,3.07,0,0,guided_onboarding,account_management,user_deactivation,21.56,0.862
TKT-000122,ACC-0005,USR-00017,2026-01-25T16:00:00,email,feature_request,medium,medium,33.29,0,3.41,0,0,guided_onboarding,feature_request,bulk_actions,32.39,0.911
TKT-000123,ACC-0005,USR-00017,2026-01-12T11:00:00,phone,bug,low,low,14.06,1,2.48,0,0,guided_onboarding,bug,data_sync_bug,27.63,0.948
TKT-000124,ACC-0005,USR-00017,2026-01-06T16:00:00,chat,billing,medium,medium,9.67,0,3.11,0,0,guided_onboarding,billing,tax_setup,28.96,0.99
TKT-000125,ACC-0005,USR-00016,2026-02-07T09:00:00,chat,billing,low,low,7.83,0,3.08,1,0,guided_onboarding,billing,invoice_confusion,23.93,0.968
TKT-000126,ACC-0005,USR-00017,2026-02-18T16:00:00,web_form,billing,low,low,7.89,0,3.57,0,0,guided_onboarding,billing,seat_true_up,18.79,0.936
TKT-000127,ACC-0006,USR-00018,2025-06-21T12:00:00,chat,performance,high,high,29.23,0,1.98,0,0,control,performance,api_timeout,56.99,0.816
TKT-000128,ACC-0006,USR-00021,2025-06-10T11:00:00,email,onboarding,medium,medium,12.45,0,3.81,0,0,control,onboarding,setup_guidance,35.64,0.983
TKT-000129,ACC-0006,USR-00019,2025-06-18T11:00:00,email,bug,low,low,11.73,0,3.47,0,0,control,bug,filter_logic,29.69,0.949
TKT-000130,ACC-0006,USR-00020,2025-07-09T10:00:00,email,integration,high,high,34.3,0,2.87,0,1,control,integration,identity_provisioning,58.1,0.733
TKT-000131,ACC-0006,USR-00018,2025-08-13T17:00:00,email,bug,high,high,34.61,1,2.45,0,0,control,bug,notification_bug,57.86,0.944
TKT-000132,ACC-0006,USR-00020,2025-09-06T18:00:00,phone,feature_request,low,low,26.0,0,3.56,1,0,control,feature_request,advanced_permissions,34.92,0.806
TKT-000133,ACC-0006,USR-00020,2025-09-13T08:00:00,chat,bug,medium,medium,22.1,0,2.55,0,1,control,bug,notification_bug,48.45,0.973
TKT-000134,ACC-0006,USR-00021,2025-09-21T09:00:00,chat,performance,medium,medium,19.15,1,2.67,0,0,control,performance,report_refresh,44.84,0.628
TKT-000135,ACC-0006,USR-00020,2025-10-20T09:00:00,chat,integration,critical,urgent,43.43,0,1.69,0,0,control,integration,webhook_failure,67.7,0.841
TKT-000136,ACC-0006,USR-00018,2025-11-20T12:00:00,email,performance,high,high,30.55,1,2.4,0,0,control,integration,integration_other,57.26,0.592
TKT-000137,ACC-0006,USR-00020,2025-12-25T11:00:00,email,performance,medium,medium,19.15,1,2.2,0,0,control,performance,dashboard_latency,47.19,0.937
TKT-000138,ACC-0006,USR-00020,2025-12-07T10:00:00,chat,performance,high,high,30.36,0,2.77,0,0,control,performance,api_timeout,53.28,0.71
TKT-000139,ACC-0006,USR-00020,2026-01-07T12:00:00,email,onboarding,low,low,13.7,0,3.74,0,0,control,onboarding,import_mapping,28.75,0.984
TKT-000140,ACC-0006,USR-00018,2026-01-08T16:00:00,chat,onboarding,medium,medium,12.54,0,3.75,0,0,control,onboarding,setup_guidance,35.96,0.901
TKT-000141,ACC-0006,USR-00018,2026-01-20T13:00:00,web_form,onboarding,medium,medium,13.83,0,3.19,0,0,control,onboarding,training_gap,39.03,0.979
TKT-000142,ACC-0006,USR-00021,2026-02-14T13:00:00,chat,bug,critical,urgent,48.34,0,2.22,0,1,control,bug,notification_bug,70.57,0.933
TKT-000143,ACC-0006,USR-00019,2026-02-05T17:00:00,email,access,high,high,12.96,0,3.49,1,0,control,access,permission_setup,48.75,0.956
TKT-000144,ACC-0006,USR-00019,2026-03-09T08:00:00,email,onboarding,low,low,13.79,0,4.32,0,0,control,onboarding,setup_guidance,25.87,0.866
TKT-000145,ACC-0006,USR-00020,2026-03-07T14:00:00,email,onboarding,medium,medium,16.73,0,3.87,0,0,control,onboarding,workspace_configuration,36.24,0.984
TKT-000146,ACC-0007,USR-00024,2025-03-20T16:00:00,chat,account_management,medium,medium,13.06,1,2.8,0,0,ai_triage,account_management,renewal_changes,42.92,0.927
TKT-000147,ACC-0007,USR-00026,2025-03-24T12:00:00,web_form,account_management,high,high,12.71,0,3.71,0,0,ai_triage,account_management,billing_contact,44.9,0.952
TKT-000148,ACC-0007,USR-00022,2025-04-21T10:00:00,email,billing,low,low,8.56,0,3.51,0,0,ai_triage,billing,invoice_confusion,28.83,0.973
TKT-000149,ACC-0007,USR-00026,2025-04-10T13:00:00,email,bug,medium,medium,25.12,0,3.18,0,0,ai_triage,bug,notification_bug,41.43,0.957
TKT-000150,ACC-0007,USR-00023,2025-04-12T17:00:00,web_form,performance,high,high,31.91,0,3.38,0,0,ai_triage,performance,api_timeout,50.55,0.813
TKT-000151,ACC-0007,USR-00022,2025-05-20T13:00:00,web_form,performance,high,high,32.56,0,2.58,0,0,ai_triage,integration,integration_other,54.68,0.498
TKT-000152,ACC-0007,USR-00023,2025-05-19T15:00:00,email,performance,medium,medium,23.79,0,3.0,0,0,ai_triage,performance,job_queue_delay,42.06,0.584
TKT-000153,ACC-0007,USR-00027,2025-05-04T14:00:00,chat,feature_request,low,low,31.93,0,3.39,0,0,ai_triage,feature_request,advanced_permissions,34.3,0.976
TKT-000154,ACC-0007,USR-00024,2025-05-20T17:00:00,web_form,account_management,low,low,10.55,0,3.5,0,0,ai_triage,account_management,user_deactivation,29.3,0.92
TKT-000155,ACC-0007,USR-00022,2025-05-07T10:00:00,chat,performance,high,high,24.06,0,2.79,0,0,ai_triage,performance,job_queue_delay,51.86,0.502
TKT-000156,ACC-0007,USR-00025,2025-05-06T11:00:00,chat,performance,high,high,34.81,0,2.87,0,0,ai_triage,performance,job_queue_delay,53.7,0.553
TKT-000157,ACC-0007,USR-00025,2025-05-03T16:00:00,web_form,onboarding,medium,medium,12.38,0,3.56,0,0,ai_triage,onboarding,training_gap,36.88,0.988
TKT-000158,ACC-0007,USR-00022,2025-05-17T11:00:00,email,onboarding,high,high,20.98,0,2.5,0,1,ai_triage,onboarding,import_mapping,57.17,0.934
TKT-000159,ACC-0007,USR-00022,2025-06-21T09:00:00,web_form,billing,medium,medium,8.64,0,3.04,0,0,ai_triage,billing,seat_true_up,38.7,0.969
TKT-000160,ACC-0007,USR-00027,2025-06-23T17:00:00,web_form,onboarding,low,low,8.3,0,3.72,0,0,ai_triage,onboarding,workspace_configuration,27.73,0.969
TKT-000161,ACC-0007,USR-00022,2025-06-07T18:00:00,email,performance,medium,medium,26.1,0,2.38,0,0,ai_triage,performance,report_refresh,45.64,0.893
TKT-000162,ACC-0007,USR-00027,2025-06-12T10:00:00,email,integration,high,high,35.94,0,3.28,0,0,ai_triage,integration,identity_provisioning,51.89,0.826
TKT-000163,ACC-0007,USR-00023,2025-06-17T17:00:00,phone,feature_request,low,low,21.65,0,2.84,0,0,ai_triage,feature_request,advanced_permissions,34.91,0.593
TKT-000164,ACC-0007,USR-00023,2025-07-27T08:00:00,web_form,account_management,low,low,6.99,0,4.16,0,0,ai_triage,account_management,renewal_changes,25.26,0.958
TKT-000165,ACC-0007,USR-00025,2025-08-20T17:00:00,email,onboarding,high,high,20.71,1,3.06,0,0,ai_triage,onboarding,import_mapping,51.91,0.986
TKT-000166,ACC-0007,USR-00024,2025-08-13T09:00:00,email,bug,critical,urgent,33.47,0,2.98,0,0,ai_triage,bug,filter_logic,59.17,0.903
TKT-000167,ACC-0007,USR-00023,2025-08-16T13:00:00,phone,bug,high,high,27.03,1,2.42,0,1,ai_triage,bug,data_sync_bug,60.93,0.769
TKT-000168,ACC-0007,USR-00022,2025-09-22T09:00:00,email,bug,critical,urgent,40.04,1,3.07,0,0,ai_triage,bug,filter_logic,62.19,0.945
