account_id,month,active_users,feature_a_usage,feature_b_usage,feature_c_usage,login_frequency,usage_drop_flag
ACC-0014,2026-01-01,39,230,223,107,4.03,0
ACC-0014,2026-02-01,41,281,143,125,4.79,0
ACC-0014,2026-03-01,41,302,195,161,4.3,0
ACC-0015,2025-04-01,10,76,43,19,4.13,0
ACC-0015,2025-05-01,9,75,47,25,3.32,0
ACC-0015,2025-06-01,9,46,26,23,4.57,0
ACC-0015,2025-07-01,10,70,45,19,4.13,0
ACC-0015,2025-08-01,9,38,42,18,4.81,0
ACC-0015,2025-09-01,10,58,45,21,2.91,0
ACC-0015,2025-10-01,10,59,37,35,3.13,0
ACC-0015,2025-11-01,10,54,48,26,4.47,0
ACC-0015,2025-12-01,9,50,43,30,4.54,0
ACC-0015,2026-01-01,9,61,54,22,5.22,0
ACC-0015,2026-02-01,9,58,41,24,3.66,0
ACC-0015,2026-03-01,9,68,45,29,5.46,0
ACC-0016,2025-08-01,11,67,56,31,3.51,0
ACC-0016,2025-09-01,11,77,43,26,4.95,0
ACC-0016,2025-10-01,12,95,30,31,4.69,0
ACC-0016,2025-11-01,12,69,41,29,5.34,0
ACC-0016,2025-12-01,14,78,63,39,4.47,0
ACC-0016,2026-01-01,13,88,70,39,3.46,0
ACC-0016,2026-02-01,13,97,56,39,4.33,0
ACC-0016,2026-03-01,13,86,32,31,3.73,0
ACC-0017,2025-02-01,14,113,63,34,3.8,0
ACC-0017,2025-03-01,16,121,55,39,4.81,0
ACC-0017,2025-04-01,13,83,48,31,3.85,1
ACC-0017,2025-05-01,17,146,65,44,5.6,0
ACC-0017,2025-06-01,17,144,69,58,4.73,0
ACC-0017,2025-07-01,17,109,61,42,4.83,0
ACC-0017,2025-08-01,17,104,66,51,5.06,0
ACC-0017,2025-09-01,17,97,74,56,5.0,0
ACC-0017,2025-10-01,16,99,53,37,5.32,0
ACC-0017,2025-11-01,16,75,54,42,4.63,0
ACC-0017,2025-12-01,17,132,45,53,3.98,0
ACC-0017,2026-01-01,18,90,73,46,5.01,0
ACC-0017,2026-02-01,16,104,51,43,4.74,0
ACC-0017,2026-03-01,19,112,91,60,3.05,0
ACC-0018,2025-01-01,31,234,120,72,4.86,0
ACC-0018,2025-02-01,28,176,113,103,3.76,0
ACC-0018,2025-03-01,29,191,142,139,3.14,0
ACC-0018,2025-04-01,30,159,147,76,3.73,0
ACC-0018,2025-05-01,29,186,126,102,4.2,0
ACC-0018,2025-06-01,27,197,109,108,3.7,0
ACC-0018,2025-07-01,25,161,128,82,4.06,0
ACC-0018,2025-08-01,28,236,91,75,4.6,0
ACC-0018,2025-09-01,22,173,101,84,4.59,1
ACC-0018,2025-10-01,24,127,95,60,4.54,0
ACC-0018,2025-11-01,26,211,114,100,3.99,0
ACC-0018,2025-12-01,27,189,102,91,3.46,0
ACC-0018,2026-01-01,28,201,134,70,4.67,0
ACC-0018,2026-02-01,29,189,151,109,4.76,0
ACC-0018,2026-03-01,33,188,109,88,4.02,0
ACC-0019,2025-01-01,16,100,58,46,4.45,0
ACC-0019,2025-02-01,18,128,84,36,3.85,0
ACC-0019,2025-03-01,17,90,59,42,3.54,0
ACC-0019,2025-04-01,18,92,76,48,4.48,0
ACC-0019,2025-05-01,19,91,68,42,3.92,0
ACC-0019,2025-06-01,19,153,90,36,4.67,0
ACC-0019,2025-07-01,19,106,90,45,3.21,0
ACC-0019,2025-08-01,20,134,78,49,3.7,0
ACC-0019,2025-09-01,20,129,84,53,3.39,0
ACC-0019,2025-10-01,18,73,81,32,4.29,0
ACC-0019,2025-11-01,19,136,59,46,5.37,0
ACC-0019,2025-12-01,20,151,87,38,4.7,0
ACC-0019,2026-01-01,19,135,68,45,4.31,0
ACC-0019,2026-02-01,19,133,69,32,5.34,0
ACC-0019,2026-03-01,22,153,66,45,4.56,0
ACC-0020,2025-01-01,12,61,48,31,4.81,0
ACC-0020,2025-02-01,11,52,50,33,4.14,0
ACC-0020,2025-03-01,11,65,37,33,4.47,0
ACC-0020,2025-04-01,11,89,35,23,4.31,0
ACC-0020,2025-05-01,11,80,43,21,4.25,0
ACC-0020,2025-06-01,11,82,48,29,4.42,0
ACC-0020,2025-07-01,10,57,43,22,5.38,0
ACC-0020,2025-08-01,12,86,52,28,3.32,0
ACC-0020,2025-09-01,11,72,47,29,4.84,0
ACC-0020,2025-10-01,11,63,57,31,3.93,0
ACC-0020,2025-11-01,11,70,45,29,5.97,0
ACC-0020,2025-12-01,11,79,30,24,5.06,0
ACC-0020,2026-01-01,11,35,51,38,2.8,0
ACC-0020,2026-02-01,12,41,58,29,2.56,0
ACC-0020,2026-03-01,11,85,48,30,3.91,0
ACC-0021,2025-01-01,423,3071,2907,1688,2.81,0
ACC-0021,2025-02-01,433,2411,1528,1398,4.48,0
ACC-0021,2025-03-01,435,3199,2490,1225,4.08,0
ACC-0021,2025-04-01,420,2576,2155,1393,4.47,0
ACC-0021,2025-05-01,483,2999,2612,1884,4.13,0
ACC-0021,2025-06-01,485,3053,2171,1729,3.81,0
ACC-0021,2025-07-01,458,2991,2207,1360,3.84,0
ACC-0021,2025-08-01,429,2969,2297,1627,3.83,0
ACC-0021,2025-09-01,435,2645,1847,1089,2.99,1
ACC-0021,2025-10-01,422,3021,1783,1885,3.95,0
ACC-0021,2025-11-01,424,3063,3106,1430,3.92,1
ACC-0021,2025-12-01,398,2465,2495,1440,4.21,0
ACC-0021,2026-01-01,447,3017,2742,1565,4.32,0
ACC-0021,2026-02-01,453,3376,902,1571,6.0,0
ACC-0021,2026-03-01,433,2699,2215,1245,4.93,0
ACC-0022,2025-01-01,4,26,18,9,6.2,0
ACC-0022,2025-02-01,4,26,10,8,5.0,0
ACC-0022,2025-03-01,4,16,16,12,4.23,0
ACC-0022,2025-04-01,4,17,17,10,2.95,0
ACC-0022,2025-05-01,4,29,20,10,4.66,0
ACC-0022,2025-06-01,4,29,10,6,3.68,0
ACC-0022,2025-07-01,4,27,17,11,5.0,0
ACC-0022,2025-08-01,4,27,13,9,4.43,0
ACC-0022,2025-09-01,4,36,18,8,5.55,0
ACC-0022,2025-10-01,4,26,14,13,4.13,0
ACC-0022,2025-11-01,4,31,18,9,4.98,0
ACC-0022,2025-12-01,4,27,16,10,5.12,0
ACC-0022,2026-01-01,4,24,11,7,3.84,0
ACC-0022,2026-02-01,4,33,18,7,3.69,0
ACC-0022,2026-03-01,4,30,16,8,4.99,0
ACC-0023,2025-01-01,15,103,88,39,3.66,0
ACC-0023,2025-02-01,17,101,50,48,4.98,0
ACC-0023,2025-03-01,16,97,53,38,3.81,0
ACC-0023,2025-04-01,18,154,80,49,4.82,0
ACC-0023,2025-05-01,20,120,86,46,4.51,0
ACC-0023,2025-06-01,19,115,57,48,4.06,0
ACC-0023,2025-07-01,16,112,77,61,3.93,1
ACC-0023,2025-08-01,18,95,76,46,3.63,0
ACC-0023,2025-09-01,18,77,87,36,4.18,0
ACC-0023,2025-10-01,17,99,65,42,4.54,0
ACC-0023,2025-11-01,20,146,97,65,4.6,0
ACC-0023,2025-12-01,18,136,89,50,3.18,0
ACC-0023,2026-01-01,18,111,85,44,5.0,0
ACC-0023,2026-02-01,20,156,101,38,4.54,0
ACC-0023,2026-03-01,18,84,69,57,4.52,0
ACC-0024,2025-03-01,24,160,145,61,4.22,0
ACC-0024,2025-04-01,19,146,70,40,5.1,1
ACC-0024,2025-05-01,22,170,83,53,4.16,0
ACC-0024,2025-06-01,25,205,109,88,4.83,0
ACC-0024,2025-07-01,22,163,120,78,5.03,0
ACC-0024,2025-08-01,24,150,109,81,4.5,0
ACC-0024,2025-09-01,25,163,95,60,4.29,0
ACC-0024,2025-10-01,26,162,107,52,4.7,0
ACC-0024,2025-11-01,26,215,110,72,4.09,0
ACC-0024,2025-12-01,23,157,95,58,4.52,0
ACC-0024,2026-01-01,23,143,125,91,3.36,0
ACC-0024,2026-02-01,22,119,88,65,4.61,0
ACC-0024,2026-03-01,24,169,85,56,4.19,0
ACC-0025,2025-01-01,23,120,73,66,4.37,0
ACC-0025,2025-02-01,26,116,75,74,2.25,0
ACC-0025,2025-03-01,27,121,128,53,4.93,0
ACC-0025,2025-04-01,29,115,135,43,4.5,0
ACC-0025,2025-05-01,25,166,84,72,3.19,0
ACC-0025,2025-06-01,27,163,80,90,4.15,0
ACC-0025,2025-07-01,26,203,89,63,4.28,0
ACC-0025,2025-08-01,27,188,114,63,4.16,0
ACC-0025,2025-09-01,27,175,102,58,3.81,0
ACC-0025,2025-10-01,23,130,121,54,4.69,1
ACC-0025,2025-11-01,21,149,83,46,4.33,0
ACC-0025,2025-12-01,23,95,111,60,3.98,0
ACC-0025,2026-01-01,24,117,102,80,4.34,0
ACC-0025,2026-02-01,23,155,93,67,4.62,0
ACC-0025,2026-03-01,21,149,69,35,4.07,0
ACC-0026,2025-01-01,22,103,102,63,4.23,0
ACC-0026,2025-02-01,20,108,98,32,4.95,0
ACC-0026,2025-03-01,21,134,57,50,4.63,0
ACC-0026,2025-04-01,20,140,83,42,4.8,0
ACC-0026,2025-05-01,19,130,102,61,4.47,0
ACC-0026,2025-06-01,21,121,81,58,3.63,0
ACC-0026,2025-07-01,21,185,85,36,3.26,0
ACC-0026,2025-08-01,22,141,105,48,4.78,0
ACC-0026,2025-09-01,21,119,79,38,5.59,0
ACC-0026,2025-10-01,21,151,77,39,4.04,0
ACC-0026,2025-11-01,23,136,78,59,4.55,0
ACC-0026,2025-12-01,22,151,101,63,3.39,0
ACC-0026,2026-01-01,20,106,60,58,4.4,0
ACC-0026,2026-02-01,22,80,126,43,5.64,0
ACC-0026,2026-03-01,20,112,46,53,3.43,0
ACC-0027,2025-01-01,90,449,424,332,5.47,0
ACC-0027,2025-02-01,92,620,282,272,3.84,0
ACC-0027,2025-03-01,99,754,484,258,4.9,0
ACC-0027,2025-04-01,96,589,339,269,5.42,0
ACC-0027,2025-05-01,98,655,381,481,5.11,0
ACC-0027,2025-06-01,92,570,361,303,3.71,0
ACC-0027,2025-07-01,93,753,283,224,3.86,0
ACC-0027,2025-08-01,93,808,455,359,4.01,0
ACC-0027,2025-09-01,77,377,363,272,5.1,1
ACC-0027,2025-10-01,78,494,330,298,3.17,0
ACC-0027,2025-11-01,82,531,266,142,4.1,0
ACC-0027,2025-12-01,98,817,429,448,4.17,0
ACC-0027,2026-01-01,102,612,376,278,2.76,0
ACC-0027,2026-02-01,103,596,356,244,4.06,0
ACC-0027,2026-03-01,106,933,293,312,3.48,0
ACC-0028,2025-01-01,33,224,118,107,3.87,0
ACC-0028,2025-02-01,39,276,180,51,4.15,0
ACC-0028,2025-03-01,40,318,104,119,3.36,0
ACC-0028,2025-04-01,39,263,135,125,2.37,0
ACC-0028,2025-05-01,33,215,157,60,3.93,1
ACC-0028,2025-06-01,38,186,162,123,5.4,0
ACC-0028,2025-07-01,33,208,157,74,4.05,0
ACC-0028,2025-08-01,35,222,167,125,3.68,0
ACC-0028,2025-09-01,30,244,103,99,4.06,1
ACC-0028,2025-10-01,29,136,151,77,4.92,0
ACC-0028,2025-11-01,28,162,141,109,4.35,0
ACC-0028,2025-12-01,35,216,143,95,4.83,0
ACC-0028,2026-01-01,34,276,130,109,4.73,0
ACC-0028,2026-02-01,36,222,146,137,3.74,0
ACC-0028,2026-03-01,35,227,167,109,5.47,0
ACC-0029,2025-09-01,29,180,114,51,3.47,0
ACC-0029,2025-10-01,28,216,114,62,5.06,0
ACC-0029,2025-11-01,32,252,109,70,5.47,0
ACC-0029,2025-12-01,32,198,149,96,3.8,0
ACC-0029,2026-01-01,34,255,107,85,3.42,0
ACC-0029,2026-02-01,31,182,138,71,3.75,0
ACC-0029,2026-03-01,33,172,146,102,4.14,0
ACC-0030,2025-01-01,18,124,44,49,6.2,0
ACC-0030,2025-02-01,18,114,84,60,4.88,0
ACC-0030,2025-03-01,16,113,98,45,3.39,0
ACC-0030,2025-04-01,19,96,96,37,4.25,0
ACC-0030,2025-05-01,18,106,95,45,3.81,0
ACC-0030,2025-06-01,17,75,52,42,4.89,0
ACC-0030,2025-07-01,17,139,59,39,3.44,0
ACC-0030,2025-08-01,20,176,53,46,5.09,0
ACC-0030,2025-09-01,17,121,86,42,4.59,1
ACC-0030,2025-10-01,20,172,81,43,3.56,0
ACC-0030,2025-11-01,20,99,77,50,3.85,0
ACC-0030,2025-12-01,18,167,72,40,4.91,0
ACC-0030,2026-01-01,19,153,80,44,2.95,0
ACC-0030,2026-02-01,17,76,74,29,5.08,0
ACC-0030,2026-03-01,19,118,65,53,3.64,0
ACC-0031,2025-06-01,12,93,52,28,4.65,0
ACC-0031,2025-07-01,12,83,41,42,3.79,0
ACC-0031,2025-08-01,14,88,66,39,5.0,0
ACC-0031,2025-09-01,14,107,78,32,4.22,0
ACC-0031,2025-10-01,15,91,82,28,3.54,0
ACC-0031,2025-11-01,16,114,92,35,4.29,0
ACC-0031,2025-12-01,14,93,37,39,4.43,0
ACC-0031,2026-01-01,15,91,50,42,3.38,0
ACC-0031,2026-02-01,15,131,79,24,3.82,0
ACC-0031,2026-03-01,15,96,44,40,4.19,0
ACC-0032,2025-01-01,13,80,65,23,3.48,0
ACC-0032,2025-02-01,12,92,40,29,3.23,0
ACC-0032,2025-03-01,12,89,45,28,3.41,0
ACC-0032,2025-04-01,11,92,45,21,3.98,0
ACC-0032,2025-05-01,11,59,57,26,5.52,0
ACC-0032,2025-06-01,12,77,55,11,4.34,0
ACC-0032,2025-07-01,11,89,53,20,5.07,0
ACC-0032,2025-08-01,12,66,51,28,5.28,0
ACC-0032,2025-09-01,12,80,57,36,4.75,0
ACC-0032,2025-10-01,13,93,55,40,4.14,0
ACC-0032,2025-11-01,12,100,64,29,3.88,0
ACC-0032,2025-12-01,12,88,52,27,4.43,0
ACC-0032,2026-01-01,12,69,50,31,3.94,0
ACC-0032,2026-02-01,12,95,58,28,4.73,0
ACC-0032,2026-03-01,12,61,55,30,6.02,0
ACC-0033,2025-10-01,25,182,107,63,3.5,0
ACC-0033,2025-11-01,20,110,81,26,3.82,1
ACC-0033,2025-12-01,21,131,74,48,5.41,0
ACC-0033,2026-01-01,27,158,109,66,3.66,0
ACC-0033,2026-02-01,24,182,90,45,4.17,0
ACC-0033,2026-03-01,26,112,105,76,4.52,0
ACC-0034,2025-02-01,54,425,283,278,4.73,0
ACC-0034,2025-03-01,48,363,175,157,3.75,0
ACC-0034,2025-04-01,48,277,170,167,4.1,0
ACC-0034,2025-05-01,48,235,152,123,4.49,0
ACC-0034,2025-06-01,54,414,253,213,4.63,0
ACC-0034,2025-07-01,51,393,246,176,5.09,0
ACC-0034,2025-08-01,46,284,177,184,5.3,0
ACC-0034,2025-09-01,40,322,126,96,4.04,0
ACC-0034,2025-10-01,43,205,198,158,4.94,0
ACC-0034,2025-11-01,43,277,175,188,2.22,0
ACC-0034,2025-12-01,48,312,155,144,4.11,0
ACC-0034,2026-01-01,52,341,239,157,3.88,0
ACC-0034,2026-02-01,53,344,143,186,3.88,0
ACC-0034,2026-03-01,58,414,292,144,3.94,0
ACC-0035,2025-01-01,15,85,76,49,3.4,0
ACC-0035,2025-02-01,15,96,68,22,3.08,0
ACC-0035,2025-03-01,16,69,59,41,4.49,0
ACC-0035,2025-04-01,16,97,76,42,3.75,0
ACC-0035,2025-05-01,16,110,87,46,5.05,0
ACC-0035,2025-06-01,15,88,58,35,3.49,0
ACC-0035,2025-07-01,16,119,61,45,4.36,0
ACC-0035,2025-08-01,16,80,63,39,4.64,0
ACC-0035,2025-09-01,15,56,48,36,4.24,0
ACC-0035,2025-10-01,17,121,70,42,4.97,0
ACC-0035,2025-11-01,15,95,48,48,4.47,0
ACC-0035,2025-12-01,14,89,63,32,3.83,0
ACC-0035,2026-01-01,15,103,57,33,3.26,0
ACC-0035,2026-02-01,16,100,61,41,4.72,0
ACC-0035,2026-03-01,16,113,62,34,3.47,0
ACC-0036,2025-01-01,25,163,86,63,3.52,0
ACC-0036,2025-02-01,24,177,89,48,3.43,0
ACC-0036,2025-03-01,27,216,101,63,4.95,0
ACC-0036,2025-04-01,27,233,163,27,4.13,0
ACC-0036,2025-05-01,28,173,105,81,4.12,0
ACC-0036,2025-06-01,28,176,126,51,3.05,0
ACC-0036,2025-07-01,31,179,123,70,4.58,0
ACC-0036,2025-08-01,33,235,95,56,3.92,0
ACC-0036,2025-09-01,29,133,137,54,5.25,0
ACC-0036,2025-10-01,33,205,146,60,4.64,0
ACC-0036,2025-11-01,29,153,112,64,3.97,0
ACC-0036,2025-12-01,30,169,164,53,5.33,0
ACC-0036,2026-01-01,28,181,103,63,4.76,0
ACC-0036,2026-02-01,32,249,120,82,3.65,0
ACC-0036,2026-03-01,28,146,104,73,2.86,0
ACC-0037,2025-07-01,9,73,44,19,3.22,0
ACC-0037,2025-08-01,9,35,44,21,5.48,0
ACC-0037,2025-09-01,8,60,32,17,3.24,0
ACC-0037,2025-10-01,11,79,60,32,3.78,0
ACC-0037,2025-11-01,10,49,52,20,5.24,0
ACC-0037,2025-12-01,10,68,38,28,4.19,0
ACC-0037,2026-01-01,10,72,39,20,4.62,0
ACC-0037,2026-02-01,10,70,37,17,5.41,0
ACC-0037,2026-03-01,11,82,41,24,5.17,0
ACC-0038,2025-12-01,16,92,89,39,5.44,0
ACC-0038,2026-01-01,16,113,92,39,4.02,0
ACC-0038,2026-02-01,16,123,55,39,3.34,0
ACC-0038,2026-03-01,21,163,85,39,5.28,0
ACC-0039,2025-04-01,84,443,225,230,3.18,0
ACC-0039,2025-05-01,82,600,311,282,3.69,0
ACC-0039,2025-06-01,86,740,328,298,3.1,0
ACC-0039,2025-07-01,100,597,494,311,4.63,0
ACC-0039,2025-08-01,101,606,502,269,4.74,0
ACC-0039,2025-09-01,78,536,290,252,3.45,1
