month,request_theme,request_count,total_votes,estimated_revenue_impact
2025-08-01,bulk_actions,6,21,19793.92
2025-08-01,custom_dashboard,4,19,27132.69
2025-08-01,invoice_self_serve,4,12,5835.360000000001
2025-08-01,setup_templates,2,7,4684.51
2025-08-01,sso_role_templates,1,13,32039.25
2025-08-01,workflow_rules,1,8,14890.16
2025-09-01,advanced_permissions,2,17,109624.70999999999
2025-09-01,audit_log,1,7,10575.46
2025-09-01,bulk_actions,1,6,6429.27
2025-09-01,crm_sync,2,15,68875.20999999999
2025-09-01,custom_dashboard,1,1,907.1
2025-09-01,invoice_self_serve,3,5,8338.69
2025-09-01,setup_templates,1,5,1575.48
2025-09-01,sso_role_templates,1,11,34634.96
2025-09-01,workflow_rules,2,9,13943.73
2025-10-01,audit_log,1,9,30712.12
2025-10-01,bulk_actions,1,5,8912.23
2025-10-01,custom_dashboard,5,17,18499.77
2025-10-01,invoice_self_serve,2,5,1202.8899999999999
2025-10-01,setup_templates,4,12,13284.08
2025-10-01,sso_role_templates,1,9,12149.97
2025-11-01,audit_log,4,35,109410.44
2025-11-01,bulk_actions,4,18,11071.93
2025-11-01,crm_sync,1,11,48261.73
2025-11-01,custom_dashboard,5,20,36939.3
2025-11-01,invoice_self_serve,3,13,10164.31
2025-11-01,workflow_rules,1,8,6833.97
2025-12-01,advanced_permissions,1,8,71244.15
2025-12-01,audit_log,1,12,27682.35
2025-12-01,bulk_actions,4,19,18069.37
2025-12-01,custom_dashboard,2,10,6408.04
2025-12-01,invoice_self_serve,2,3,3796.8
2025-12-01,sso_role_templates,1,9,59854.95
2025-12-01,workflow_rules,1,5,8770.51
2026-01-01,audit_log,2,15,33817.06
2026-01-01,crm_sync,2,23,69430.41
2026-01-01,custom_dashboard,1,4,4000.43
2026-01-01,invoice_self_serve,1,1,1003.85
2026-01-01,setup_templates,1,4,1433.66
2026-01-01,sso_role_templates,4,44,119392.63
2026-01-01,workflow_rules,1,10,7838.74
2026-02-01,advanced_permissions,2,25,67760.89
2026-02-01,audit_log,1,11,9099.03
2026-02-01,bulk_actions,3,8,7998.59
2026-02-01,crm_sync,1,12,25369.36
2026-02-01,custom_dashboard,3,12,17535.78
2026-02-01,sso_role_templates,1,9,44360.38
2026-03-01,advanced_permissions,4,40,126696.04
2026-03-01,audit_log,12,84,247665.9
2026-03-01,bulk_actions,25,113,131055.21
2026-03-01,crm_sync,5,50,228661.45
2026-03-01,custom_dashboard,18,73,125217.45
2026-03-01,invoice_self_serve,16,48,29063.79
2026-03-01,setup_templates,15,44,30350.55
2026-03-01,sso_role_templates,3,26,128373.02
2026-03-01,workflow_rules,8,42,84287.6
